BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","allab:hal-01578585","Allab, Yacine; Guo, Xiaofeng; Pellegrino, Margot; Nefzaoui, E. & Kindinis, Andrea","Energy and comfort assessment in educational building: Case study in a French university campus","{Energy and Buildings}",143,,"","202-219",2017,"","","https://hal.archives-ouvertes.fr/hal-01578585","","","","","","{Elsevier}","","","","","","","","","indoor air quality ; energy audit ; thermal comfort ; educational building","https://hal.archives-ouvertes.fr/hal-01578585/file/Allab2016_Energy%20and%20comfort%20assessment%20in%20educational%20building.pdf",""
7,"","bahri:hal-01286949","Bahri, Nejmeddine; Grandpierre, Thierry; Ayed, Med Ali Ben; Masmoudi, Nouri & Akil, Mohamed","Embedded Real-Time H264/AVC High Definition Video Encoder on TI's KeyStone Multicore DSP","{Journal of Signal Processing Systems}",86,1,"","67-84",2017,"","","https://hal.archives-ouvertes.fr/hal-01286949","","","","","","{Springer}","","","","","","","",""," Real-time ; Embedded system ; GOP level parallelism ; H264/AVC encoder ; Multicore programming ; Multicore DSP ; real-time ; GOP Level Parallelism ; multicore DSP","https://hal.archives-ouvertes.fr/hal-01286949/file/Embedded%20real-time%20H264AVC%20High%20Definition%20Video%20Encoder%20on%20TIs%20KeyStone%20Multicore%20DSP.pdf",""
7,"","bahri:hal-01797084","Bahri, Nejmeddine; Belhadj, Nidhameddine; Grandpierre, Thierry; Ayed, Mohamed; Masmoudi, Nouri & Akil, Mohamed","Real-time H264/AVC encoder based on enhanced frame level parallelism for smart multicore DSP camera","{Journal of Real-Time Image Processing}",12,4,"December","791 - 812",2016,"","","https://hal.archives-ouvertes.fr/hal-01797084","","","","","","{Springer Verlag}","","","","","","","","","H264/AVC encoder ; DSP ; multi-core ; Frame Level Parallelism ; real-time","https://hal.archives-ouvertes.fr/hal-01797084/file/journal%20FLP%20implementation%20for%20smart%20multicore%20DSP%20camra-%20Nejmeddine%20Bahri.pdf",""
7,"","bennour:hal-01708912","Bennour, Alae; Moutier, Fr{\'e}d{\'e}ric; Polleux, Jean-Luc; Algani, Catherine & Mazer, Said","A Distributed Extended Ebers--Moll Model Topology for SiGe Heterojunction Bipolar Phototransistors Based on Drift--Diffusion Hydrodynamic Behavior","{IEEE Transactions on Electron Devices}",64,5,"May","2267 - 2274",2017,"","","https://hal.archives-ouvertes.fr/hal-01708912","","","","","","{Institute of Electrical and Electronics Engineers}","","","","","","","","","","",""
7,"","bourdeau:hal-01648411","Bourdeau, Mathieu; Guo, Xiaofeng & Nefzaoui, E.","Buildings energy consumption generation gap: a post-occupancy assessment in a case study of three higher education buildings","{Energy and Buildings}",,,"","",2017,"","","https://hal.archives-ouvertes.fr/hal-01648411","","","","","","{Elsevier}","","","","","","","","","statistical analysis ; Energy Consumption ; Energy Demand Analysis ; Energy Efficiency ; statistical analysis ; educational building ; heating ; electric consumption ; load curve ; heat and electric consumption","https://hal.archives-ouvertes.fr/hal-01648411/file/ENB_2017_BOURdeau_RevSubnAcc.pdf",""
7,"","bus:hal-01468685","Bus, Norbert; Garg, Shashwat; Mustafa, Nabil & Ray, Saurabh","Limits of Local Search: Quality and Efficiency","{Discrete and Computational Geometry}",,,"","",2017,"","","https://hal.archives-ouvertes.fr/hal-01468685","","","","","","{Springer Verlag}","","","","","","","","","","https://hal.archives-ouvertes.fr/hal-01468685/file/hittingset-localsearch.pdf",""
7,"","desta:hal-01797125","Desta, Alemayehu; Courbin, Pierre; Sciandra, Vincent & George, Laurent","Gaussian-Based Smoothing of Wind and Solar Power Productions Using Batteries","{ International Journal of Mechanical Engineering and Robotics Research}",,,"","154 - 159",2017,"","","https://hal-upec-upem.archives-ouvertes.fr/hal-01797125","","","","","","","","","","","","","","","","",""
7,"","elfellahi:hal-01587262","El Fellahi, Abdelhatif; Bore, Thierry; Bensalem, Sakina; bod{\'e}n{\`e}s, Pierre; Lopes, Filipa; Martincic, Emile; Le Pioufle, Bruno & Fran{\c c}ais, Olivier","Monitoring of Microalgae Lipid Accumulation Using RF Open Ended Biosensor","{IEEE Sensors Letters}",1,4,"August"," 4500303",2017,"","","https://hal.archives-ouvertes.fr/hal-01587262","","","","","","{IEEE}","","","","","","","","","","",""
7,"","fiengo:hal-01718496","Fiengo, Aniello; Chierchia, Giovanni; Cagnazzo, Marco & Pesquet-Popescu, B{\'e}atrice","Rate Allocation in Predictive Video Coding Using a Convex Optimization Framework","{IEEE Transactions on Image Processing}",26,1,"January","479 - 489",2017,"","","https://hal.archives-ouvertes.fr/hal-01718496","","","","","","{Institute of Electrical and Electronics Engineers}","","","","","","","","","Video coding ; rate distortion ; convex optimization ; bit allocation","https://hal.archives-ouvertes.fr/hal-01718496/file/main.pdf",""
7,"","fikar:hal-01789921","Fikar, Pavel; Lissorgues, Gaelle Bazin; Rousseau, Lionel; Fran{\c c}ais, Olivier; Le Pioufle, Bruno; Hamdi, Feriel; Georgiev, Vjaceslav & Georgiev, Daniel","SU-8 microchannels for live cell dielectrophoresis improvements","{Microsystem Technologies}",23,9,"September","3901 - 3908",2017,"","","https://hal.archives-ouvertes.fr/hal-01789921","","","","","","{Springer Verlag}","","","","","","","","","","",""
