BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","bodenes:hal-01944176","Bodenes, Pierre; Bensalem, Sakina; Fran{\c c}ais, Olivier; Pareau, Dominique; Le Pioufle, Bruno & Lopes, Filipa","Inducing reversible or irreversible pores in Chlamydomonas reinhardtii with electroporation: Impact of treatment parameters","{ Algal Research - Biomass, Biofuels and Bioproducts}",37,,"January","124-132",2019,"","","https://hal.archives-ouvertes.fr/hal-01944176","","","","","","{Elsevier}","","","","","","","","","","",""
7,"","bourdeau:hal-02159158","Bourdeau, Mathieu; Zhai, Xiao qiang; Nefzaoui, Elyes; Guo, Xiaofeng & Chatellier, Patrice","Modeling and forecasting building energy consumption: A review of data-driven techniques","{Sustainable Cities and Society}",48,,"July","101533",2019,"","","https://hal.archives-ouvertes.fr/hal-02159158","","","","","","{Elsevier}","","","","","","","","","","",""
7,"","boutry:hal-02005579","Boutry, Nicolas; G{\'e}raud, Thierry & Najman, Laurent","How to Make n-D Plain Maps defined on Discrete Surfaces Alexandrov-Well-Composed in a Self-dual Way","{Journal of Mathematical Imaging and Vision}",,,"","",2019,"","","https://hal.archives-ouvertes.fr/hal-02005579","","","","","","{Springer Verlag}","","","","","","","","","well-composedness ; discrete surfaces ; digital topology ; Alexandrov spaces ; frontier orders ; cross-section topology ; tree of shapes ; mathematical morphology","https://hal.archives-ouvertes.fr/hal-02005579/file/boutry.2017.hal-interpolationAWC-2019-02-04.pdf",""
7,"","bricenoarias:hal-01672507","Brice{\~n}o-Arias, Luis; Chierchia, Giovanni; Chouzenoux, Emilie & Pesquet, Jean-Christophe","A Random Block-Coordinate Douglas-Rachford Splitting Method with Low Computational Complexity for Binary Logistic Regression","{Computational Optimization and Applications}",72,3,"April","707-726",2019,"","","https://hal.archives-ouvertes.fr/hal-01672507","","","","","","{Springer Verlag}","","","","","","","","","Proximity operator ; Douglas-Rachford splitting ; Block-coordinate descent ; Logistic regression","https://hal.archives-ouvertes.fr/hal-01672507/file/main_optim_LB3.pdf",""
7,"","cela:hal-02001194","Cela, Arben; Niculescu, Silviu-Iulian; Natowicz, Ren{\'e} & Reama, Abdellatif","Controllability and Observability Gramians as Information Metrics for Optimal Design of Networked Control Systems","{Mechanical engineering}",140,12,"December","S8",2018,"","","https://hal.archives-ouvertes.fr/hal-02001194","","","","","","{American Society of Mechanical Engineers}","","","","","","","","","","",""
7,"","cela:hal-02001194","Cela, Arben; Niculescu, Silviu-Iulian; Natowicz, Ren{\'e} & Reama, Abdellatif","Controllability and Observability Gramians as Information Metrics for Optimal Design of Networked Control Systems","{Mechanical engineering}",140,12,"December","S8",2018,"","","https://hal.archives-ouvertes.fr/hal-02001194","","","","","","{American Society of Mechanical Engineers}","","","","","","","","","","",""
7,"","cela:hal-02001194","Cela, Arben; Niculescu, Silviu-Iulian; Natowicz, Ren{\'e} & Reama, Abdellatif","Controllability and Observability Gramians as Information Metrics for Optimal Design of Networked Control Systems","{Mechanical engineering}",140,12,"December","S8",2018,"","","https://hal.archives-ouvertes.fr/hal-02001194","","","","","","{American Society of Mechanical Engineers}","","","","","","","","","","",""
7,"","challa:hal-01977705","Challa, Aditya; Danda, Sravan; Daya Sagar, B.  S. & Najman, Laurent","Watersheds for Semi-Supervised Classification","{IEEE Signal Processing Letters}",26,5,"May","720-724",2019,"","","https://hal.archives-ouvertes.fr/hal-01977705","","","","","","{Institute of Electrical and Electronics Engineers}","","","","","","","","","Classification ; Maximum Margin Principle ; Watersheds ; Mathematical Morphology ; Machine Learning","https://hal.archives-ouvertes.fr/hal-01977705/file/MorphologyAndDataAnalysis_FinalFiles.pdf",""
7,"","chen:hal-01996748","Chen, Chen; Ugon, Adrien; Sun, Chenglu; Chen, Wei; Philippe, Carole & Pinna, Andrea","Towards a Hybrid Expert System Based on Sleep Event's Threshold Dependencies for Automated Personalized Sleep Staging by Combining Symbolic Fusion and Differential Evolution Algorithm","{IEEE Access}",7,,"","1775-1792",2019,"","","https://hal.sorbonne-universite.fr/hal-01996748","","","","","","{IEEE}","","","","","","","","","Knowledge-based system ; symbolic fusion ; personalization ; automatic sleep staging system.","https://hal.sorbonne-universite.fr/hal-01996748/file/08579126.pdf",""
7,"","danda:hal-01810249","Danda, Sravan; Challa, Aditya; Daya Sagar, B.  S. & Najman, Laurent","Revisiting the Isoperimetric Graph Partitioning Problem","{IEEE Access}",,,"","",2019,"","","https://hal.archives-ouvertes.fr/hal-01810249","","","","","","{IEEE}","","","","","","","","","Image Segmentation ; Isoperimetric Partitioning ; Cheeger cut ; Spectral Clustering ; Power Watersheds","https://hal.archives-ouvertes.fr/hal-01810249/file/IsoPerimetricSIAM.pdf",""
7,"","deloera:hal-02050466","De Loera, Jes{\'u}s A.; Goaoc, Xavier; Meunier, Fr{\'e}d{\'e}ric & Mustafa, Nabil","The discrete yet ubiquitous theorems of Caratheodory, Helly, Sperner, Tucker, and Tverberg","{Bulletin of the American Mathematical Society}",,,"","",2019,"","","https://hal.inria.fr/hal-02050466","","","","","","{American Mathematical Society}","","","","","","","","","","",""
7,"","desta:hal-01875125","Desta, Alemayehu Addisu; Badis, Hakim & George, Laurent","Demand response scheduling in industrial asynchronous production lines constrained by available power and production rate","{Applied Energy}",230,,"November","1414 - 1424",2018,"","","https://hal-upec-upem.archives-ouvertes.fr/hal-01875125","","","","","","{Elsevier}","","","","","","","","","","",""
7,"","duriez:hal-02150067","DURIEZ, B{\'e}n{\'e}dicte; Chilaka, Sabarinadh; Bercher, Jean-Fran{\c c}ois; Hercul, Eslande & Prioleau, Marie-No{\"e}lle","Replication dynamics of individual loci in single living cells reveal changes in the degree of replication stochasticity through S phase","{Nucleic Acids Research}",47,10,"June","5155-5169",2019,"","","https://hal-upec-upem.archives-ouvertes.fr/hal-02150067","","","","","","{Oxford University Press}","","","","","","","","","","",""
7,"","genest:hal-01959606","Genest, Diane; Puybareau, {\'E}lodie; L{\'e}onard, Marc; Cousty, Jean; de Croz{\'e}, No{\'e}mie & Talbot, Hugues","High throughput automated detection of axial malformations in Medaka fish embryo","{Computers in Biology and Medicine}",105,,"February","157-168",2019,"","","https://hal.archives-ouvertes.fr/hal-01959606","","","","","","{Elsevier}","","","","","","","","","machine learning ; Toxicology screening ; discrete mathematical morphology ; features screening ; segmentation ; random forest","https://hal.archives-ouvertes.fr/hal-01959606/file/High%20throughput%20automated%20detection%20of%20axial%20malformations_unmarked.pdf",""
7,"","genest:hal-01959606","Genest, Diane; Puybareau, {\'E}lodie; L{\'e}onard, Marc; Cousty, Jean; de Croz{\'e}, No{\'e}mie & Talbot, Hugues","High throughput automated detection of axial malformations in Medaka fish embryo","{Computers in Biology and Medicine}",105,,"February","157-168",2019,"","","https://hal.archives-ouvertes.fr/hal-01959606","","","","","","{Elsevier}","","","","","","","","","machine learning ; Toxicology screening ; discrete mathematical morphology ; features screening ; segmentation ; random forest","https://hal.archives-ouvertes.fr/hal-01959606/file/High%20throughput%20automated%20detection%20of%20axial%20malformations_unmarked.pdf",""
7,"","ghaffarinejad:hal-01826249","Ghaffarinejad, Ali; Hasani, Javad Yavand; Hinchet, Ronan; Lu, Yingxian; Zhang, Hemin; karami, armine; Galayko, Dimitri; Kim, Sang-Woo & Basset, Philippe","A conditioning circuit with exponential enhancement of output energy for triboelectric nanogenerator","{Nano Energy}",51,,"September","173 - 184",2018,"","","https://hal.archives-ouvertes.fr/hal-01826249","","","","","","{Elsevier}","","","","","","","","","","",""
7,"","greche:hal-02175795","Greche, Latifa; Akil, Mohamed; Kachouri, Rostom & Es-Sbai, Najia","A new pipeline for the recognition of universal expressions of multiple faces in a video sequence","{Journal of Real-Time Image Processing}",,,"July","",2019,"","","https://hal-upec-upem.archives-ouvertes.fr/hal-02175795","","","","","","{Springer Verlag}","","","","","","","","","Facial expression recognition ; Histogram of Oriented Gradient ; Linear Discriminant Analysis","https://hal-upec-upem.archives-ouvertes.fr/hal-02175795/file/article_2.pdf",""
7,"","grossiord:hal-01695384","Grossiord, Elo{\"i}se; Naegel, Beno{\^i}t; Talbot, Hugues; Najman, Laurent & Passat, Nicolas","Shape-based analysis on component-graphs for multivalued image processing","{Mathematical Morphology - Theory and Applications}",,,"","",2019,"","","https://hal.univ-reims.fr/hal-01695384","","","","","","{De Gruyter }","","","","","","","","","multivalued images ; shaping ; component-tree ; anti-extensive filtering ; mathematical morphology ; connected operators ; component-graph ; morphological hierarchies","https://hal.univ-reims.fr/hal-01695384/file/Grossiord%20MMTA%202018.pdf",""
7,"","grossiord:hal-01695384","Grossiord, Elo{\"i}se; Naegel, Beno{\^i}t; Talbot, Hugues; Najman, Laurent & Passat, Nicolas","Shape-based analysis on component-graphs for multivalued image processing","{Mathematical Morphology - Theory and Applications}",,,"","",2019,"","","https://hal.univ-reims.fr/hal-01695384","","","","","","{De Gruyter }","","","","","","","","","multivalued images ; shaping ; component-tree ; anti-extensive filtering ; mathematical morphology ; connected operators ; component-graph ; morphological hierarchies","https://hal.univ-reims.fr/hal-01695384/file/Grossiord%20MMTA%202018.pdf",""
7,"","guo:hal-01890613","Guo, Xiaofeng & Goumba, Alain Pascal","Air source heat pump for domestic hot water supply: Performance comparison between individual and building scale installations","{Energy}",164,,"December","794 - 802",2018,"","","https://hal.archives-ouvertes.fr/hal-01890613","","","","","","{Elsevier}","","","","","","","","","","",""
7,"","guo:hal-01890617","Guo, Xiaofeng; Fan, Yilin & Luo, Lingai","Residence time distribution on flow characterisation of multichannel systems: Modelling and experimentation","{Experimental Thermal and Fluid Science}",99,,"December","407 - 419",2018,"","","https://hal.archives-ouvertes.fr/hal-01890617","","","","","","{Elsevier}","","","","","","","","","","",""
7,"","guo:hal-02137906","Guo, Xiaofeng; Goumba, Alain Pascal & Wang, Cheng","Comparison of Direct and Indirect Active Thermal Energy Storage Strategies for Large-Scale Solar Heating Systems","{Energies}",12,10,"May","1948",2019,"","","https://hal.archives-ouvertes.fr/hal-02137906","","","","","","{MDPI}","","","","","","","","","Thermal Energy Storage ; direct ; indirect ; district heating ; economic-environmental assessment","https://hal.archives-ouvertes.fr/hal-02137906/file/energies-12-01948-v2%20%281%29.pdf",""
7,"","hadi:hal-01983312","Hadi, Muhammad Usman; Traverso, Pier Andrea; Tartarini, Giovanni; Venard, Olivier; Baudoin, Genevi{\`e}ve & Polleux, Jean-Luc","Digital Predistortion for Linearity Improvement of VCSEL-SSMF-Based Radio-Over-Fiber Links","{IEEE Microwave and Wireless Components Letters}",29,2,"February","155-157",2019,"","","https://hal.archives-ouvertes.fr/hal-01983312","","","","","","{Institute of Electrical and Electronics Engineers}","","","","","","","","","","",""
